,filename,polarity,subjectivity
0,0_discussion.txt,0.07380952380952381,0.30214285714285716
3,3_discussion.txt,-0.037666666666666654,0.257
8,8_discussion.txt,0.07994566657831963,0.3592704744235357
11,11_discussion.txt,-0.01634573759573763,0.22832459207459208
14,14_discussion.txt,0.025448705883488472,0.36649232410101973
15,15_discussion.txt,0.06387666324286043,0.37941209025716044
16,16_discussion.txt,-0.03370060790273559,0.1980496453900709
17,17_discussion.txt,0.01570586820586821,0.2529238816738817
19,19_discussion.txt,-0.026326530612244894,0.296734693877551
22,22_discussion.txt,0.0307282647907648,0.3555211339586337
23,23_discussion.txt,0.0307282647907648,0.3555211339586337
24,24_discussion.txt,0.09756574271499643,0.35088841506751967
27,27_discussion.txt,0.0478377065111759,0.3867832847424685
30,30_discussion.txt,0.04114583333333333,0.25104166666666666
35,35_discussion.txt,-0.03884559884559885,0.17327922077922078
72,72_discussion.txt,0.05587772397094431,0.35189669087974174
77,77_discussion.txt,0.12376246941464332,0.33802465650291735
83,83_discussion.txt,0.09574386724386723,0.44433102453102474
90,90_discussion.txt,0.007711834733893553,0.259453781512605
92,92_discussion.txt,-0.012853107344632757,0.18135593220338977
98,98_discussion.txt,-0.03904710368996085,0.24905689548546692
101,101_discussion.txt,0.04383696660482374,0.26889107915893634
109,109_discussion.txt,0.017156574195035697,0.2855414969645738
113,113_discussion.txt,0.06092055543326731,0.3283857949959644
114,114_discussion.txt,0.032216269841269844,0.39642063492063473
115,115_discussion.txt,0.02722103513770181,0.27368403201736535
122,122_discussion.txt,-0.03354761904761904,0.2844523809523809
128,128_discussion.txt,0.0015406162464986037,0.31153127917833795
130,130_discussion.txt,-0.0014392735778277987,0.3286387307471644
139,139_discussion.txt,-0.11645344705046201,0.22831583839046524
144,144_discussion.txt,-0.012333333333333318,0.2970952380952381
145,145_discussion.txt,-0.016666666666666666,0.3
150,150_discussion.txt,0.04458054571690934,0.2428177882723337
153,153_discussion.txt,0.04910475183730996,0.36604131011107754
161,161_discussion.txt,-0.2,0.0
162,162_discussion.txt,0.10168427128427127,0.45503145743145734
168,168_discussion.txt,0.047063492063492064,0.2642460317460318
179,179_discussion.txt,-0.05486666666666668,0.33107301587301585
180,180_discussion.txt,0.11171137605563837,0.41312717337307503
182,182_discussion.txt,0.06488801054018445,0.3236056214317084
185,185_discussion.txt,0.09140533239370448,0.3669229672136651
188,188_discussion.txt,0.05792521488173662,0.250966497270845
192,192_discussion.txt,0.003076007326007324,0.32095215201465194
194,194_discussion.txt,-0.015640692640692642,0.35120562770562763
199,199_discussion.txt,-0.09866071428571432,0.3867063492063492
208,208_discussion.txt,0.02910125588697018,0.3798927263212978
218,218_discussion.txt,0.044348244348244345,0.28788480038480035
225,225_discussion.txt,0.06477272727272726,0.4147727272727273
227,227_discussion.txt,-0.003703703703703706,0.34814814814814815
